id,question_type,control_type,layer,clean_mf1,corrupt_mf1,patched_mf1,mf1_recovery
16,model_abstraction_and_breakdown,random_region,33,0.6667,0.6667,0.0000,0.0000
16,model_abstraction_and_breakdown,random_region,36,0.6667,0.6667,0.0000,1.0000
17,hidden_variable_identification,random_region,3,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,7,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,8,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,9,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,10,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,15,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,25,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,30,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,33,0.6154,0.7273,0.0000,0.0000
17,hidden_variable_identification,random_region,36,0.6154,0.7273,0.2857,1.0000
18,hidden_variable_identification,random_region,3,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,7,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,8,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,9,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,10,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,15,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,25,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,30,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,33,0.6667,0.2857,0.0000,0.0000
18,hidden_variable_identification,random_region,36,0.6667,0.2857,0.5000,0.0000
19,model_abstraction_and_breakdown,random_region,3,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,7,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,8,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,9,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,10,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,15,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,25,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,30,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,33,0.5000,0.4444,0.0000,0.0000
19,model_abstraction_and_breakdown,random_region,36,0.5000,0.4444,0.0000,0.0000
